filename,tsne_dim1,tsne_dim2
DB0-m2_o1_o11_f0_nbo.sym.34_repeat,68.83756,-11.761338
DB0-m2_o1_o11_f0_nbo.sym.35_repeat,56.00731,-9.047128
DB0-m2_o1_o11_f0_nbo.sym.36_repeat,55.834557,-9.0091095
DB0-m2_o1_o11_f0_nbo.sym.37_repeat,70.25574,-11.17677
DB0-m2_o1_o11_f0_nbo.sym.38_repeat,61.340252,0.9136044
DB0-m2_o1_o11_f0_nbo.sym.4_repeat,82.88048,3.4696097
DB0-m2_o1_o11_f0_nbo.sym.40_repeat,70.00846,-11.134355
DB0-m2_o1_o11_f0_nbo.sym.41_repeat,79.61401,-10.47245
DB0-m2_o1_o11_f0_nbo.sym.42_repeat,62.543133,5.0249686
DB0-m2_o1_o11_f0_nbo.sym.43_repeat,62.45168,5.073479
DB0-m2_o1_o11_f0_nbo.sym.44_repeat,79.704796,-10.53714
DB0-m2_o1_o11_f0_nbo.sym.45_repeat,58.35622,10.560215
DB0-m2_o1_o11_f0_nbo.sym.46_repeat,58.328182,10.505913
DB0-m2_o1_o11_f0_nbo.sym.47_repeat,70.9563,-3.6800354
DB0-m2_o1_o11_f0_nbo.sym.49_repeat,58.296913,5.8428383
DB0-m2_o1_o11_f0_nbo.sym.5_repeat,82.57118,3.5449357
DB0-m2_o1_o11_f0_nbo.sym.50_repeat,70.07335,4.456684
DB0-m2_o1_o11_f0_nbo.sym.51_repeat,59.08372,6.2712054
DB0-m2_o1_o11_f0_nbo.sym.52_repeat,58.978897,2.7893896
DB0-m2_o1_o11_f0_nbo.sym.53_repeat,62.248024,0.7759829
DB0-m2_o1_o11_f0_nbo.sym.54_repeat,59.67605,2.398915
DB0-m2_o1_o11_f0_nbo.sym.55_repeat,62.25134,0.74478596
DB0-m2_o1_o11_f0_nbo.sym.56_repeat,70.01506,1.3788917
DB0-m2_o1_o11_f0_nbo.sym.57_repeat,67.399605,23.26974
DB0-m2_o1_o11_f0_nbo.sym.58_repeat,70.34264,-5.5260906
DB0-m2_o1_o11_f0_nbo.sym.59_repeat,57.58594,9.30197
DB0-m2_o1_o11_f0_nbo.sym.60_repeat,58.089844,8.732922
DB0-m2_o1_o11_f0_nbo.sym.61_repeat,57.442577,9.436675
DB0-m2_o1_o11_f0_nbo.sym.62_repeat,69.63437,5.3123274
DB0-m2_o1_o11_f0_nbo.sym.64_repeat,72.9963,-0.47875315
DB0-m2_o1_o11_f0_nbo.sym.65_repeat,69.83049,-1.117086
DB0-m2_o1_o11_f0_nbo.sym.66_repeat,24.799288,11.262215
DB0-m2_o1_o11_f0_nbo.sym.67_repeat,38.055008,6.41435
DB0-m2_o1_o11_f0_nbo.sym.68_repeat,48.25677,12.730296
DB0-m2_o1_o11_f0_nbo.sym.69_repeat,66.942314,-4.2257895
DB0-m2_o1_o11_f0_nbo.sym.7_repeat,69.76407,-9.978922
DB0-m2_o1_o11_f0_nbo.sym.70_repeat,24.900639,6.1153345
DB0-m2_o1_o11_f0_nbo.sym.71_repeat,65.68667,-2.1322188
DB0-m2_o1_o11_f0_nbo.sym.72_repeat,70.16352,-9.710952
DB0-m2_o1_o11_f0_nbo.sym.73_repeat,72.23696,2.4465904
DB0-m2_o1_o11_f0_nbo.sym.74_repeat,68.70044,-2.1881926
DB0-m2_o1_o11_f0_nbo.sym.76_repeat,70.470116,-11.516988
DB0-m2_o1_o11_f0_nbo.sym.78_repeat,70.73349,-11.9427595
DB0-m2_o1_o11_f0_nbo.sym.79_repeat,39.892895,8.517313
DB0-m2_o1_o11_f0_nbo.sym.81_repeat,69.908134,-9.906177
DB0-m2_o1_o11_f0_nbo.sym.82_repeat,56.958,17.705061
DB0-m2_o1_o11_f0_nbo.sym.83_repeat,71.570274,27.539804
DB0-m2_o1_o11_f0_nbo.sym.85_repeat,69.47071,-9.886168
DB0-m2_o1_o11_f0_nbo.sym.86_repeat,69.66824,-10.203155
DB0-m2_o1_o11_f0_nbo.sym.87_repeat,61.904793,10.304009
DB0-m2_o1_o11_f0_nbo.sym.88_repeat,77.133736,0.3147337
